"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a2_opencoggy",""
"passed","Mon Oct 28 22:46:33 GMT 2024","Mon Oct 28 22:46:33 GMT 2024","4","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.01",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e3_match_states",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.first_answer_long",""
"passed","Mon Oct 28 22:46:33 GMT 2024","Mon Oct 28 22:46:33 GMT 2024","14","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.09",""
"passed","Mon Oct 28 22:58:27 GMT 2024","Mon Oct 28 22:58:27 GMT 2024","5","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","FIND-ALL-TESTS.01",""
"passed","Mon Oct 28 22:46:33 GMT 2024","Mon Oct 28 22:46:33 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.02",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:26 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.call_tests",""
"passed","Mon Oct 28 22:46:33 GMT 2024","Mon Oct 28 22:46:33 GMT 2024","1","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.08",""
"passed","Mon Oct 28 22:30:27 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH2.04",""
"passed","Mon Oct 28 22:30:27 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","3","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN.01",""
"passed","Mon Oct 28 22:30:27 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH2.03",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.00_lang_case",""
"passed","Mon Oct 28 22:30:27 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","3","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH1.01",""
"passed","Mon Oct 28 22:30:27 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH1.02",""
"passed","Mon Oct 28 22:46:33 GMT 2024","Mon Oct 28 22:46:33 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.02",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_100",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","module-system.f1_imports",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.system_proofTestCurried",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_116378",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.c1_grounded_basic",""
"failed","Mon Oct 28 22:29:45 GMT 2024","Mon Oct 28 22:30:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.01_lang_inc",""
