"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","UNIQUE-TEST.03","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE8.01","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","METATYPES---METTA-LANGUAGE8.01","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","97","PY-TYPES.03","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","INTERSECTION-TESTS.32","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","HYPERPOSE-TESTS.02","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","ARITY-TESTS.03","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","hyperon-mettalog_sanity.string-tests","","Tue Nov 12 18:26:51 GMT 2024","passed","Tue Nov 12 18:26:59 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","SPACE-INTERSECTION-TESTS.02","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","F1-IMPORTS.13","","Tue Nov 12 19:07:31 GMT 2024","passed","Tue Nov 12 19:07:31 GMT 2024","","QUICK","QUICK",""
"","3","WORKING-WITH-SPACES---METTA-LANGUAGE1.07","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","19","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE4.01","","Tue Nov 12 18:44:23 GMT 2024","failed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","C2-SPACES.04","","Tue Nov 12 18:26:43 GMT 2024","passed","Tue Nov 12 18:26:43 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","1","C1-GROUNDED-BASIC.22","","Tue Nov 12 18:32:05 GMT 2024","passed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","C2-SPACES.03","","Tue Nov 12 18:32:05 GMT 2024","passed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","26","G1-DOCS.04","","Tue Nov 12 18:32:05 GMT 2024","failed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","D2-HIGHERFUNC.04","","Tue Nov 12 18:32:05 GMT 2024","passed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","XOR-TEST.09","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","STRING-TESTS.06","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
